#{"t_start": 1648476916.1027277, "env_id": "CarRacing-v0"}
r,l,t
51.724138,1000,4785.741517
2.189781,1000,4792.690516
178.571429,1000,4799.797024
-19.463087,1000,4806.803027
-4.43686,1000,4813.764025
2.473498,1000,4820.924546
170.175439,1000,4827.866548
10.294118,1000,4835.009548
110.884354,1000,4841.986062
13.879004,1000,4849.245142
-5.263158,1000,4856.197668
-41.908714,1000,4863.10667
199.6633,1000,4870.297666
5.263158,1000,4877.305669
206.273063,1000,4884.44867
22.112211,1000,4891.535667
141.37931,1000,4898.410669
-12.087912,1000,4905.403667
-12.751678,1000,4912.450669
7.936508,1000,4919.693667
-17.888563,1000,4926.88667
149.169435,1000,4933.951666
47.651007,1000,4941.111666
31.868132,1000,4948.089669
141.042345,1000,4955.436667
25.461255,1000,4962.637668
-10.652921,1000,4969.749667
6.227106,1000,4976.69467
-11.764706,1000,4983.860186
107.885305,1000,4990.842705
-38.931298,1000,4998.138707
27.090301,1000,5005.037705
-61.267606,1000,5011.590709
0.0,1000,5018.151708
156.944444,1000,5024.833704
-50.819672,1000,5031.497707
87.29097,1000,5038.08722
154.180602,1000,5044.846217
-14.893617,1000,5051.99422
-42.176871,1000,5059.498218
20.915033,1000,5066.767221
16.197183,1000,5073.902217
8.843537,1000,5081.113218
-16.058394,1000,5088.10422
45.985401,1000,5095.070217
34.099617,1000,5102.08622
77.083333,1000,5109.140218
-53.416149,1000,5116.415217
-38.983051,1000,5123.46222
265.325077,1000,5130.758218
0.775194,1000,5137.60022
-38.181818,1000,5144.544218
-10.891089,1000,5151.469219
251.351351,1000,5158.604217
-40.983607,1000,5165.948218
-45.848375,1000,5172.91922
148.175182,1000,5179.985219
31.386861,1000,5186.984219
5.590062,1000,5194.062218
-20.265781,1000,5201.404219
-53.846154,1000,5208.50122
-13.580247,1000,5215.521218
38.643068,1000,5222.74222
254.385965,1000,5229.854225
-5.30303,1000,5236.638228
-71.608833,1000,5243.618741
-55.223881,1000,5250.73726
89.189189,1000,5258.964766
51.515152,1000,5266.920767
-77.272727,1000,5274.096764
89.473684,1000,5281.130764
-44.272446,1000,5288.076768
108.469055,1000,5295.349764
-78.798587,1000,5302.146767
25.43554,1000,5308.886767
-10.569106,1000,5315.928906
58.914729,1000,5322.609907
-53.947368,1000,5329.418903
70.37037,1000,5336.312903
-44.827586,1000,5343.066908
-5.797101,1000,5350.090905
107.171315,1000,5356.974905
37.40458,1000,5363.753903
125.903614,1000,5371.113905
130.496454,1000,5378.081909
33.561644,1000,5385.330905
58.075601,1000,5392.328909
100.716846,1000,5399.395904
-5.882353,1000,5406.257905
-8.196721,1000,5413.338432
-85.239852,1000,5420.353431
199.625468,1000,5427.261431
154.966887,1000,5434.18643
19.521912,1000,5441.239428
188.194444,1000,5449.403431
32.258065,1000,5456.962431
4.026846,1000,5463.996429
168.041237,1000,5471.202429
-30.0,1000,5478.20843
229.545455,1000,5485.254428
-32.624113,1000,5492.381434
119.269103,1000,5499.295428
-52.238806,1000,5506.190428
-30.795848,1000,5512.87443
21.875,1000,5519.755432
5.263158,1000,5526.613432
38.613861,1000,5533.273433
19.565217,1000,5540.170428
197.029703,1000,5547.239431
-47.019868,1000,5554.304427
-46.540881,1000,5561.534428
67.808219,1000,5568.580434
-48.717949,1000,5575.832431
75.373134,1000,5582.831429
-66.329966,1000,5589.853428
-31.654676,1000,5596.893434
-42.528736,1000,5603.815427
-67.741935,1000,5610.944429
-2.027027,1000,5617.957431
232.167832,1000,5625.048428
242.960289,1000,5632.132434
90.114068,1000,5639.133431
40.625,1000,5646.39143
-64.480874,1000,5653.778983
-85.559567,1000,5661.144983
-30.921053,1000,5668.148986
-13.043478,1000,5675.266983
-0.684932,1000,5682.285986
18.705036,1000,5689.234504
-8.51735,1000,5696.601504
20.437956,1000,5703.651505
11.940299,1000,5710.726502
-8.309456,1000,5718.119504
11.842105,1000,5725.118502
-48.207171,1000,5732.009506
3.004292,1000,5738.762028
-15.824916,1000,5745.859027
-42.95302,1000,5752.826551
120.883534,1000,5759.651546
105.298013,1000,5766.777549
-15.540541,1000,5773.695546
52.48227,1000,5781.189547
34.42623,1000,5788.268548
-44.0,1000,5795.278547
-56.6787,1000,5802.133548
48.036254,1000,5809.172546
-7.894737,1000,5816.371547
58.576052,1000,5823.372549
22.923588,1000,5830.305517
1.045296,1000,5837.431516
30.990415,1000,5844.449515
-15.584416,1000,5851.660518
-50.155763,1000,5859.367515
-32.885906,1000,5867.233408
-48.051948,1000,5874.186415
76.056338,1000,5881.191415
111.309524,1000,5888.019416
40.350877,1000,5894.873415
-4.605263,1000,5902.162417
-50.757576,1000,5908.951418
84.210526,1000,5916.080416
144.147157,1000,5923.149417
-2.077151,1000,5930.27243
-41.176471,1000,5937.203418
-1.360544,1000,5944.248415
-17.322835,1000,5951.269415
-40.140845,1000,5958.440417
-46.564885,1000,5965.49325
-63.69637,1000,5972.465252
13.138686,1000,5979.47225
-47.735192,1000,5986.775254
97.324415,1000,5993.748251
-35.849057,1000,6000.752249
-12.727273,1000,6007.720255
-6.896552,1000,6014.616251
50.724638,1000,6021.942254
40.84507,1000,6028.847252
188.808664,1000,6035.79825
-25.795053,1000,6043.512252
47.058824,1000,6051.806251
-61.165049,1000,6058.671253
-4.411765,1000,6065.74325
-1.060071,1000,6072.684254
-20.863309,1000,6079.597251
-69.135802,1000,6086.874252
46.853147,1000,6093.805252
-49.832776,1000,6102.239251
-19.161677,1000,6111.619278
34.185304,1000,6120.004277
100.704225,1000,6127.247281
47.058824,1000,6134.112277
17.021277,1000,6142.273115
-46.107784,1000,6150.503113
20.689655,1000,6158.10463
-32.748538,1000,6164.903629
30.563798,1000,6171.822631
-38.016529,1000,6179.389628
-8.011869,1000,6186.941631
1.694915,1000,6194.502628
-43.75,1000,6202.51872
6.617647,1000,6211.303238
-41.176471,1000,6219.282234
29.92126,1000,6226.388236
-5.084746,1000,6233.387237
-53.703704,1000,6240.355237
-54.545455,1000,6247.150239
-42.965779,1000,6253.804234
-32.352941,1000,6261.419238
-38.931298,1000,6267.955237
-3.345725,1000,6274.780256
-55.882353,1000,6281.580234
-53.271028,1000,6288.692235
38.181818,1000,6295.603236
-15.625,1000,6302.784237
-42.760943,1000,6309.684235
-50.819672,1000,6317.137238
-17.491749,1000,6324.22726
-47.540984,1000,6331.467772
-29.487179,1000,6338.604773
-32.748538,1000,6345.863286
-53.020134,1000,6352.96429
-55.932203,1000,6359.760286
116.666667,1000,6366.943291
-46.488294,1000,6374.062286
-41.580756,1000,6381.277798
31.313131,1000,6388.481802
-20.634921,1000,6395.744357
-20.415225,1000,6402.880359
-37.956204,1000,6409.743357
7.638889,1000,6416.966208
150.737463,1000,6424.026206
-8.77193,1000,6431.141217
32.575758,1000,6438.127774
-25.423729,1000,6445.171281
104.778157,1000,6452.412304
0.358423,1000,6460.085301
87.279152,1000,6468.152304
37.380192,1000,6475.1963
-33.993399,1000,6482.458302
-34.482759,1000,6489.4763
-45.205479,1000,6496.575301
-46.236559,1000,6503.570303
-64.968153,1000,6510.6323
76.271186,1000,6517.600306
-42.965779,1000,6524.202299
-14.201183,1000,6531.281814
-14.826498,1000,6538.100847
28.301887,1000,6544.772845
-8.759124,1000,6551.468365
-6.148867,1000,6558.613366
-26.315789,1000,6565.557382
-27.927928,1000,6572.812367
42.361111,1000,6579.920364
-17.721519,1000,6587.300368
194.915254,1000,6594.248364
-52.681388,1000,6601.499124
-44.055944,1000,6608.540124
79.012346,1000,6615.899643
16.838488,1000,6622.919641
-16.967509,1000,6629.875638
-44.625407,1000,6637.084641
32.890365,1000,6644.185639
-58.955224,1000,6651.04264
-42.65233,1000,6658.01064
-17.525773,1000,6665.038641
-44.636678,1000,6672.131639
-42.857143,1000,6679.111639
-58.333333,1000,6686.447152
-50.0,1000,6693.369155
-40.95941,1000,6700.349155
42.394822,1000,6707.408153
-48.275862,1000,6714.348153
41.818182,1000,6721.401156
-52.205882,1000,6728.424155
4.868914,1000,6735.482167
-39.393939,1000,6742.655155
-27.672956,1000,6749.674539
-11.47541,1000,6756.843539
-51.428571,1000,6764.028054
